amplitude_horiz,center_horiz,sigma_horiz,offset_horiz,err_amplitude_horiz,err_center_horiz,err_sigma_horiz,err_offset_horiz,amplitude_vert,center_vert,sigma_vert,offset_vert,err_amplitude_vert,err_center_vert,err_sigma_vert,err_offset_vert,frame_id,timestamp
438.83734650759675,6.886073113730485,49.853485782169074,2217.4169309049967,8.9863697284397,3.0176456549381405,2.245784918249043,3.845194489570276,559.3696718298447,172.05171230395658,65.61485230295143,2882.659234366634,14.069209164313389,3.418578539527971,2.7951429073356815,7.664730302079135,233106,7236440752
421.95469389494485,5.238216174091165,52.38927705018932,1947.8470898665055,8.541685530110183,3.071763913981734,2.2412054241266137,3.5182961277438074,564.8193116969451,176.14188739378795,68.10397768243696,2521.1563006204046,16.43398701522162,4.028989937076099,3.1693771565188964,8.18571903679261,233108,7238450720
415.225477870953,3.3872972902994998,52.21552506364733,1960.7261717086003,9.562834646155508,3.448536095053699,2.4397575790354287,3.588190291138315,542.2060679683074,170.27479053661673,64.6459871122756,2535.261640286497,13.80088988472082,3.4267483983575815,2.857577140352579,7.850814331771483,233110,7240460592
429.7218516088411,5.185829965709595,50.33589712951448,2097.6896517107452,9.249460074362377,3.1722785680300194,2.297456835978807,3.6761692347715456,544.8673696001974,169.88498385595432,64.25115205328417,2721.4520843736127,10.82587239574257,2.67104437101092,2.2309922036435315,6.188193593454232,233111,7241465520
447.73179856342085,6.574644629077819,48.731899194670994,2323.834327994406,9.809454035084755,3.171687899010639,2.3421023538962027,4.0704732747858205,555.135578406444,168.34366914158156,61.7441006996804,3028.682232891029,10.848969725289114,2.6209834362121724,2.1733658125535498,6.177383810381187,233113,7243475384
458.99308965156854,6.134846665280035,49.33112300881875,2381.1728029006927,9.85354895571656,3.1310359274582873,2.297953087323063,4.038454889342191,568.4235982494775,173.05478127920566,64.03911219902444,3110.9228430903204,12.507899432280409,3.015411909342305,2.3614029236314487,6.24953154883642,233114,7244480296
443.8176197547326,5.883233853562908,50.02809714471846,2198.612655639422,9.534173079130339,3.1624345650921937,2.3152376265836896,3.9011305051823677,561.9805934085566,169.8746112888485,64.45885949814719,2853.858586965933,12.81926555113701,3.063555253515108,2.567528326375642,7.369737323532205,233116,7246490144
429.12066921486485,4.9609632614074215,52.145543461385344,1945.3282800715276,8.962426930527512,3.154496670222686,2.289165338656696,3.628358173557198,571.614559375216,176.3446633347874,72.05812407853051,2501.70028660976,17.518872957054118,4.195336644235439,3.500511409463327,9.692857973968989,233118,7248500112
413.0946926886036,5.187026209308451,52.846708696889685,1898.546787960776,8.247366657672199,3.0473997034609392,2.2251209895489197,3.4142810132173946,527.5725293688649,168.631558704984,62.66175453649523,2466.852063049004,11.590076779980091,2.943196766825617,2.4600890603258043,6.679602870390674,233119,7249505000
423.6800592575637,8.513234268095092,49.09849867708225,2117.2381675325246,8.223813444173047,2.834634930817066,2.1656495806795855,3.7488003609146023,590.6893198150542,178.72390677693122,69.1472619572246,2738.2642875217966,17.66676844319962,4.186321303519689,3.1934264264383025,8.196922285529999,233121,7251514856
438.76683324614174,6.091624434636531,49.4033651376774,2254.6208909688635,10.03260784932398,3.3379281305809454,2.448418510149939,4.1076403644347215,550.7250283075344,167.78740426800488,61.92802602092658,2933.2188962171235,11.472404531893083,2.780375930223399,2.3377605746919725,6.7104792537119655,233122,7252519312
